Study_ID,Study_Year,Country,Region,Land_Use_Change,Covariates,Sampling_Design,Exclosure_Treatments,Function_Methods,Land.use.Source,Citations,DOI
martin01,2010,south korea,haean catchment,yes,organic or conventional management of field surrounding the plot,"in each plot, 6 exclosures containing 4 cabbages each. Monitored pests & predators 3 times + measured total herbivory and biomass at harvest","H=herbivores only (all enemies excluded), HGD=herbivores + ground-dwellers (birds and flying insects excluded), HP=herbivores + flying insects (""P"" for parasitoids) (birds and ground-dwellers excluded), HBP=herbivores + birds + flying insects (ground-dwellers excluded), HPGD=herbivores + flying insects + ground-dwellers (birds excluded), O=herbivores + all enemies (open)","herbivory=leaf area eaten/total leaf area, measured on all leaves of all whole plants with standard surface grid. biomass=fresh biomass of whole plants",Author contribution; Global Land Cover,"(1) Martin, E.A., Reineking, B., Seo, B., Steffan-Dewenter, I. 2013. Natural enemy interactions constrain pest control in complex agricultural landscapes. PNAS 110: 5534–5539; (2) Martin, E.A., Reineking, B., Seo, B., Steffan-Dewenter, I. 2015. Pest control of aphids depends on landscape complexity and natural enemy interactions. PeerJ 3:e1095; doi: 10.7717/peerj.1095.",0081ee6f-dfd9-43e9-b765-d9ba8e578328
martin02,2009,south korea,haean catchment,yes,organic or conventional management,"pan traps: 1 triplet/subplot, 3 subplots at increasing distance from field edge, sampled ca. 6 times in one season. Pitfall traps: 1 trap/subplot, 5 subplots from field edge, active 2*10 days. Bird point counts on average 3 times per plot for 10 min.",NA,Herbivory from 12 quadrats per field. Biomass from 3 1m¬≤ subplots per field.,Author contribution; Global Land Cover,"Martin, E. A., Seo B., Park C.-R., Reineking B., Steffan-Dewenter I. 2016. Scale-dependent effects of landscape composition and configuration on natural enemy diversity, crop herbivory and yields. Ecological Applications 26(2):448–462.",2cff25a8-8489-4994-ba1e-4033ee19e78d
mitc01,2010-2011,canada,mont√©r√©gie,no,"Forest fragment size, isolation, distance from forest within fields, field width, field aspect, forest diversity, tillage, landscape complexity, proportion of forest in surrounding area","Soybean fields were chosen adjacent to forest patches that varied in size and connectivity. In each field a transect with locations at set distance from forest were sampled (0 & 500m). Locations were sampled twice each growing season; aphid numbers were collected by counting individuals on all aboveground plant parts of 5 plants, other herbivore and predator numbers collected via sweep netting on a transect perpendicular to the forest-field boundary.  ",NA,"Aphid herbivory was measured simply as the number of aphids present per plant. Other herbivory by the proportion of leaves grazed by insect herbivores. Predation by the number of predator individuals present in the sweep net samples. Soybean yield was determined by collecting soybean plants at the end of the growing season along a 0.5m transect of two crop rows. Plants were dried, threshed, and soybean wieight was determined.",Author contribution,"(1) Mitchell MGE, Bennett EM, Gonzalez A. 2014. Forest fragments modulate the provision of multiple ecosystem services. Journal of Applied Ecology 51(4): 909-918.; (2) Mitchell MGE, Bennett EM, Gonzalez A. 2014. Agricultural landscape structure affects arthropod diversity and arthropod-derived ecosystem services. Agriculture, Ecosystems and Environment 192: 144-151.",896fbbe2-f561-4339-940b-ee6b6a582303
moli01,2011-2012,argentina,north buenos aires rolling pampas,no,No,"Experiments were performed in twenty-one agricultural sites during February of two consecutive cropping seasons (2010/2011 and 2011/2012), leaving five infested pots on the edge of the crop for 7-10 days (approximate time of larval development).  ",NA,"After ten days the pots were taken to the laboratory, where we counted the number of mined leaves (L. commelinae) per pot and the number of leaves per plant, and rear the mined leaves to count the leaf-miners and their parasitoids.",Author contribution,"Molina, G. A., Poggio, S. L., & Ghersa, C. M. (2014). Epigeal arthropod communities in intensively farmed landscapes: effects of land use mosaics, neighbourhood heterogeneity, and field position. Agriculture, Ecosystems & Environment, 192, 135-143",216fa091-6c61-4e66-858a-d584890a2726
moli02,2010-2011,argentina,las polvaredas farm (4400 ha),no,No,"Arthropods were captured by using pitfall traps. In each field, sampling point was placed 100 meters from the fencerow. Two traps per sampling position were placed at each field. Traps were active during seven consecutive days during sampling rounds. ",NA,"Yield was collected at the end of the season, through a producer survey.",Author contribution,Unpublished,6209f437-4fe6-4a6e-8383-42a19a6b5e7c
mont01,2015,chile,NA,yes,strong desertification,3 little plots (5 x 5 m) inside of each experimental plots 100 x 100m,NA,predation and hervibory was recorded on each individuals. The yield was recorded in each individual,Global Land Cover,Unpublished,e3c3a057-e6f8-407a-bfea-f3f7c63eebd6
mora01,2010,mexico,"soconusco, chiapas",yes,Local and landscape factors,Twice in each plot during dry and wet season,None,Biodiversity and abundance,Author contribution; Global Land Cover,De la Mora et al. 2013.Biodiversity and Conservation 22: 871-888,9ec8fbb8-9f02-4424-a9fb-a2be0fa1ac88
mora02,2010,mexico,"soconusco, chiapas",yes,Species richness and abundance,Twice in each plot during dry and wet season,None,"Predation (20 insects: coffee berry borerPredation (20 insects : coffee berry borer and mediterean fies were placen in cards. The cards were placed on the  ground, cofffee bushes and shade trees). We counted every minute during 30 minutes the removal rate by ants. ",Author contribution; Global Land Cover,"De la Mora et al. 2015.Agriculture, Ecosystem and Environment 201:83-91",c7634d1b-2051-437e-a1fd-8b76759d6527
nash01,2006,australia,western victoria,no,"Accumulated pesticide usage (2yr) as quanfied using metric developed from IOBC ratings, local diversity",Repeated sampling (4 times over 6 week period) along transects with 4 points (10 pitfalls each point) in the crop and 2 in adjacent grassland,no,Yield was estimated from grower data,Catchment Scale Land Use Map (Australia),"Nash MA, Thomson LJ, Hoffmann AA (2008) Effect of remnant vegetation, pesticides and farm management on abundance of the beneficial predator Notonomus gravis (Chaudoir) (Coleoptera: Carabidae). Biological Control 46: 83-93 ",5d0bd275-77a3-4284-896d-1114c3ea99c5
onea01,2006-2008,united states,iowa (jasper county),no,"See Table 2; soil nutrients (N, P, K), predators, and 'year' were significant)","Four locations in each field were selected randomly on each sample date and 20 plants were looked at per location. Soybean aphid and associated natural enemies were counted on each plant, 20 pendulum sweeps of sweep net were also taken at each loction, and 1 yellow sticky trap was deployed for a week.Sampled weekly from June to end of August.",NA,NA,Author contribution; Cropland Data Layer (United States),"Schmidt, N.P., M.E. O’Neal, and L.A. Schulte. 2011. Effects of grassland habitat and plant nutrients on soybean aphid and natural enemy populations. Environmental Entomology 40: 260-272.",24e73762-ac50-4555-bb68-5a71b7195e68
orou01,2006,united states,new york,no,regional 20km radius landscape diversity,"In each crop field, two transects with three locations each (6 total) were sampled weekly for four weeks in 2006 and weekly for seven weeks in 2007 for D. virgifera and D. barberi.  O. nubilalis crop damage was sampled one time per year in 2006 & 2007. eri were sampled with sticky cards.  O. nubilalis was not measured directly, but the damage it caused to plants was measured on one date per year.  O nubilalis damage was measured on 10 plants at each of the 6 sample locations per field.",NA,"D. barberi and D. virgifera were sampled with sticky cards.  O. nubilalis was not measured directly, but the damage it caused to plants was measured on one date per year.  O nubilalis damage was measured on 10 plants at each of the 6 sample locations per field.",Cropland Data Layer (United States),"O'Rourke, M. E., Rienzo-Stack, K., & Power, A. G. (2011). A multi_scale, landscape approach to predicting insect populations in agroecosystems. Ecological Applications, 21(5), 1782-1791.",e62aed11-af11-41df-b17e-81e159a93a36
ostm01,1999,sweden,uppland,no,Organic-conventional farming system,"3 ground predator exclusures in each field, sampled at three different days over the pest dynamic cycle",Ground dwelling predators,Aphid abundance between open plots and predator exclusions,CORINE (Europe),"Östman, Ö., Ekbom, B., Bengtsson, J. 2001. Landscape heterogeneity and farming practice influence biological control. Basic and Applied Ecology 2, 365–371. 
",d7d59541-6ea0-4936-9ea3-fb5fdd16b173
ostm02,2000,sweden,uppland,no,Organic-conventional farming system,Field margin and 20 m from field margin,NA,Removal rate of living aphids on 20 piecies of self-adhesive paper at six occasion over a season,CORINE (Europe),"Östman, Ö. 2004. The relative effects of natural enemy abundance and alternative prey abundance on aphid predation rates. Biological Control 30, 281–287.",0fdd8b44-4bf5-4d5f-90d0-c5e958c68564
ouin01,2003,france,midi-pyr√©n√©es,no,local diversity,"Aphids, mummies (parasitized aphids) and hoverflies (eggs, larvae and pupae) were counted in a 20 m x 20 m square plot (400 m¬≤) in each wheat field, every two weeks (i.e. 6 records each year), from the end of March (to detect early colonization process) to the beginning of June (corresponding to the wheat stem elongation, heading, grain-filling). In each plot, ten neighbouring wheat-stalks were cut at 10 different subplots in the square. Each subplot was chosen after an active search for aphid colonies lasting 3 minutes (if no aphid colony was found, the observer cut ten stalks randomly). These active search strategy was used to mimic female hoverfly search of aphid colonies and thus avoid too many zero data particularly in early colonisation time. ",NA,"Count of aphids, mummies and hoverflies on 10*10 wheat-stalk",CORINE (Europe),"Alignier, A., Raymond, L., Deconchat, M. Menozzi, P., Monteil, C., Sarthou, J.P., Ouin, A. 2014 Influence of landscape on the abundance of aphids, mummies and aphidophagous hoverflies in winter wheat fields varies over the spring. Biological Control 77: 76-82.",8253f329-2413-47bc-be5a-98f942d14174
ouin02,2002,france,midi-pyr√©n√©es,no,local diversity,Hoverflies were trapped in Malaise traps,NA,Abundance of hoverflies in Malaise traps,CORINE (Europe),"Sarthou, J.-P., Ouin, A. Arrignon, F., Barreau, G. Bouyjou, B. 2005 Landscape parameters explain the distribution and abundance of Episyrphus balteatus(Diptera: Syrphidae). European Journal of Entomology, 102 (3), 539-545",ebf5efb6-0141-4723-bc7f-98ce4f862885
pare01,2009-2011,spain,andalusia,no,"There are some sites with ground cover as an inter-tree strip of natural and spontaneous vegetation. Former studies did not report an effect of this structure on pest abundance or damage (Paredes et al., 2015).","The Warning and Information Plant Protection Network (WIPPN) of Andalusia (Spain) monitors the populations of potentially dangerous arthropods and provides guidelines to farmers on how to treat pests. It has several monitoring stations (MS) spread throughout the region, each covering an area of ca. five hectares. For the porpouse of this study I select a single location with nine sites during three years and two pests with two measures: abundance and damage. Although dataset is bigger (see paper) I took the decision of reduce it because it could bias the results. For the pest Bactrocera oleae abundance data was taken with three baited sticky traps per site; damage was taken by radomly collecting olive fruit and look for sign of damage (percentage). For Prays oleae abundance data was taken with two baited funnel traps per site; damage was taken by radomly collecting olive fruit and look for sign of damage (percentage). Prays oleae has three generations but damage data only belongs to the carpophagous generation which is that attack the olive fruits and only can be measured in a short period of time, that is because this measure has less sampling dates. Further description of methods can be found in the refered paper",NA,NA,Author contribution; CORINE (Europe),"Paredes, D.; Cayuela, L.; Gurr, G. M.; Campos, M. (2015). Is ground cover vegetation an effective biological control enhancement strategy against olive pests? PLoS ONE 10(2): e0117265.",e82da2c2-99e4-4fb4-9244-a161d1ac02ee
parr01,2010-2011,australia,southern new south wales,NA,Plant Species,"Arthropod populations in crops and native vegetation were primarily sampled by knocking arthropods off the plants with a wooden rod into a plastic box (42 x 32 x 20 cm). At each point, a sample consisted of three collections within 2m of one another.If plants were too small to sample effectively with the box then a suction sample was taken of equivalent area to the box. The Number_Censuses is the product of the number of samples taken by the number of visits to the site in the year.  In crops, the number of samples is always 10, however the number of samples of plant types Native Vegetation remnants varies. ",N/A,N/A,Catchment Scale Land Use Map (Australia),"Hazel R. Parry, Sarina Macfadyen, Jamie E. Hopkinson, Felix J.J.A. Bianchi, Myron P. Zalucki, Anne Bourne, Nancy A. Schellhorn. (2005) Plant composition modulates arthropod pest and predator abundance: evidence for culling exotics and planting natives. Basic and Applied Ecology 16: 531-543.

",4f60a22b-2e4d-4916-9120-51cb6971178c
parr02,2010-2011,australia,south-eastern queensland (qld),no,Plant species,"Arthropod populations in crops and native vegetation were sample monthly for approximately 2 years. Samples were collected by knocking arthropods off the plants with a wooden rod into a plastic box. If plants were too small to sample effectively with the box then a suction sample was taken of equivalent area to the box. The Number_Censuses is the product of the number of samples taken by the number of visits to the site in the year (e.g, at each sample date 10 samples were taken in a crop, and some crops may have been available to sample for 7 months, there for the number of samples taked =70).  ",N/A,N/A,Catchment Scale Land Use Map (Australia),"Hazel R. Parry, Sarina Macfadyen, Jamie E. Hopkinson, Felix J.J.A. Bianchi, Myron P. Zalucki, Anne Bourne, Nancy A. Schellhorn. (2005) Plant composition modulates arthropod pest and predator abundance: evidence for culling exotics and planting natives. Basic and Applied Ecology 16: 531-543.

",6dd74a13-b932-476b-b8e9-099d72149b8e
parr03,2010-2011,australia,south-western western australia,NA,Plant Species,"Arthropod populations in crops and native vegetation were primarily sampled by knocking arthropods off the plants with a wooden rod into a plastic box (42 x 32 x 20 cm). At each point, a sample consisted of three collections within 2m of one another.If plants were too small to sample effectively with the box then a suction sample was taken of equivalent area to the box. The Number_Censuses is the product of the number of samples taken by the number of visits to the site in the year.  In crops, the number of samples is always 10, however the number of samples of plant types Native Vegetation remnants varies. ",N/A,N/A,Catchment Scale Land Use Map (Australia),"Hazel R. Parry, Sarina Macfadyen, Jamie E. Hopkinson, Felix J.J.A. Bianchi, Myron P. Zalucki, Anne Bourne, Nancy A. Schellhorn. (2005) Plant composition modulates arthropod pest and predator abundance: evidence for culling exotics and planting natives. Basic and Applied Ecology 16: 531-543.

",95f6dd9b-c688-4bba-8602-43c2f0c56b10
pars01,2009,peru,paucar√°,NA,Pesticide applications (mostly Metamidofos) ,"Potato fields (cv either Yungay or Larga) randomly sampled from a roster of farmers privided by local authorities. Weevil infestations were evaluated in 40 evenly-distributed plants per field, 20 from field edge and 20 from field center.",NA,Percent of tubers from 40 plants infested at harvest,Global Land Cover,"Parsa, S., Ccanto, R. and Rosenheim, J.A. 2011. Resource concentration dilutes a key pest in indigenous potato agriculture. Ecological Applications. 21(2), pp. 539–54",a20c12fa-c460-4894-b22a-d3f83f700877
pere01,2014,united states,north east (ny),no,No,"In each site, we established two experimental plots (30 x30 m) separated by at least 200m. Arthropods were monitored in each plot at three occasions throughout the cropping period by using  five pitfall traps. At four sampling times, ten plants were randomly selected and  visually inspected to determine the proportion of plants infested by caterpillars and plant damage. At harvest, the yield was estimated by weighing the final biomass of ten mature cabbage heads per plot.",NA,"We used a sentinel prey method to measure predation rates. On three different sampling dates, we placed ten plastic plates with ten pupae of diamondback moth as sentinel preys. After 24 hours, the number of pupae remaining on those plates were recorded to determine predation rates in each of the experimental plots. At four sampling times, ten plants were randomly selected and  visually inspected to determine the proportion of plants infested and plant damage. The damage was quantified by the method of Lim et al. (1986), where plant is classified in four classes based on percentage of damage.  At harvest, the yield was estimated by weighing the final biomass of ten mature cabbage heads per plot.",Cropland Data Layer (United States),"Perez-Alvarez, R; Nault, B.;Poveda, K. 2017. Contrasting effects of landscape composition on crop yield mediated by specialist herbivores. Ecological Applications (in review).",dce92e9b-4f29-4e4c-be6c-c2269eaf5e0d
pero01,2006,australia,"macquarie valley, new south wales",no,No,"In each site, 3 plot were visited upto 6 times (sampling design was temporally mixed - not all sites were visited each time). At each times, 3 vacuum samples were taken. In addition, 3 egg cards were deployed is a subset of samples, and beat sheet was also conducted in a subset of samples. ",NA,in 7 fields with bait cards of Helicoverpa armigera eggs ,Author contribution; Catchment Scale Land Use Map (Australia),Perovi_ et al. Biological Control 52 (2010) 263–270. doi:10.1016/j.biocontrol.2009.09.014,dcfedad4-506b-4712-8fc6-83b3b5ede68b
peti01,2010,france,c√¥te d'or,no,"pesticide use, soil tillage ","In each field, weed seed predation,  carabid abundance were measured during 5 consecutive 7-day long sessions (April-May). The density of individual weed species was assessed at the beginning of the survey in a 40*50m area.",vertebrature exclusion cages 1 cm2 wire mesh, 1 field = 3 predation cards + 3 pitfall traps; predation card = 25 seeds of Alopecurus myosuroides + 25 seeds of Capsella bursa-pastoris + 25 seeds of Poa pratensis + 25 seeds of Viola arvensis,CORINE (Europe),"Trichard, A;, Alignier, A. & Petit, S. 2013. The relative contribution of local management and landscape context on weed seed predation service. Basic & Applied Ecology 14, 235-245.",c5b7ef05-3f08-4054-b61b-696494e00c14
plec01,2008-2011,serbia,pacevacki rit,no,NA,"Aphids were counted from 100 randomly selected wheat stems per sampling site along 15 m transects, and then collected into fine-mesh topped plastic boxes for mummification and rearing of parasitoids. Each wheat field had one sampling site 10 m away from field edge. Sampling was performed during two wheat growth phases: wheat flowering (mid to late May) and milk ripening (late May‚Äìearly June).  ",no,"Parasitism rate was

calculated as ratio of mummified Sitobion aphids to total aphids

(with mummies). Parasitism rate was calculated only

for Sitobion avenae. Hyperparasitism rate was calculated as ratio of

emerged hyperparasitoids to all emerged parasitoids. Parasitoid

and hyperparasitoid diversity were calculated as species richness

and Shannon diversity index. Aphid population growth was calculted as the log10(x+1)-transformed densities of aphids in the 2nd (milk-ripening) phase minus the log10(x+1)-transformed densities of aphids in the 1st (flowering) phase.",CORINE (Europe),"Ple_a_, M., Gagi_, V., Jankovi_, M., Petrovi_-Obradovi_, O., Kavallieratos, N.G., Tomanovi_, _. et al. (2014). Landscape composition and configuration influence cereal aphid–parasitoid–hyperparasitoid interactions and biological control differentially across years. Agric. Ecosyst. Environ.,, 183, 1–10",f51f95cc-818e-4abd-8e17-54c55be4f27a
pons01,2007-2000,spain,catalonia,no,NO,Aphids: In each alfalfa field was divided in 4 sectors and 3 samples of 5 sweep net per sector were collected; Parasitoids: one to several samples per sector until collecting a minimum of 150 aphids. These aphids were reared together in the lab in cages until parasitoid emergence. ,No exclosures,aphids of 5 sweeps were counted in 3 points 0f 4 field sectors. Number of parasitoids and mummies were counted from one rearing cage per field with a known number of aphids  and rate of parasitism calculated.,CORINE (Europe),"Pons X., Lumbierres B., Comas J., Madeira F. Star_ P. 2013. Effects of sorrounding landscape on parasitism of alfalfa aphids in an IPM crop system in northern Catalonia. BioControl 58: 733-744.",b4ee46c9-c76b-4c50-9bac-e2a8d40123da
pons02,2007-2000,spain,catalonia,no,NO,Aphids: In each alfalfa field was divided in 4 sectors and 3 samples of 5 sweep net per sector were collected; Parasitoids: one to several samples per sector until collecting a minimum of 150 aphids. These aphids were reared together in the lab in cages until parasitoid emergence. ,No exclosures,aphids of 5 sweeps were counted in 3 points 0f 4 field sectors. Number of parasitoids and mummies were counted from one rearing cage per field with a known number of aphids  and rate of parasitism calculated.,CORINE (Europe),"Pons X., Lumbierres B., Comas J., Madeira F. Star_ P. 2013. Effects of sorrounding landscape on parasitism of alfalfa aphids in an IPM crop system in northern Catalonia. BioControl 58: 733-744.",fae55e49-9837-4286-9b4d-bfab465650ca
pove01,2006,colombia,villapinz√≥n,yes,altitude,4 Pifall traps and 4 sweep netting was done twice over the season (year),na,percent tubers damaged by insects in 20 plants per site was used to estimate damage. 20 plants per field were also scouted for aboveground herbivory,Author contribution; Global Land Cover,"(1) Poveda K.*, E. Martinez*, M. A. Bonilla & T. Tscharntke (2012) Landscape simplification and altitudinal variation affect biodiversity, herbivory and Andean potato yield (*equal authorship). Journal of Applied Ecology. 49:513-522; (2) Unpublished",690933d6-d1fe-44f8-9746-7d68f2b75136
pove02,2012,colombia,villapinzon,yes,altitude,Pheromone traps for Tecia solanivora were used to assess tuber moth abundance at two times (may/june and july),na,"To assess % herbivory in the tubers and yield, 20 plants per plot were sampled at harvest. ",Author contribution; Global Land Cover,"Poveda K., M.F. Diaz, A. Ramirez, (2018) Can overcompensation increase crop production? Ecology (accepted) and Poveda K.*, E. Martinez*, M. A. Bonilla & T. Tscharntke (2012) 
Landscape simplification and altitudinal variation affect biodiversity, herbivory and Andean potato yield (*equal authorship). Journal of Applied Ecology. 49:513-522.",b4704367-72e0-407b-b330-dd05e697c8a2
rand01,2010,united states,"montana, north dakota, and south dakota",no,Wheat type (winter vs. spring planted),"In total we sampled 127 fields (77 spring and durum wheat and 50 winter wheat) across three states, Montana (MT), North Dakota (ND) and South Dakota (SD). In each study field, we collected wheat stems along a 90 m transect, starting at the center point along a field edge and working towards the field center.  Approximately 20 wheat stems were collected every 10 m along this transect (total of 200 stems sampled per field). Wheat was sampled as close to harvest as possible from July 22 to August 18, 2010, starting with the western-most sites where wheat matures earliest and moving east. Collected wheat stems were placed into perforated plastic sleeves for protection and brought back to the laboratory where they were removed from sleeves and stored until processed.",NA,"To quantify the presence of C. cinctus and its parasitoids, sampled stems ( ~200 pe field) were dissected lengthwise. Evidence of C. cinctus presence within a stem included the presence of characteristic frass left behind by feeding larvae or direct observation of larvae (dead or alive). Evidence of Bracon spp. parasitoids included parasitoid larvae feeding externally on the sawfly larvae or the presence of characteristic parasitoid cocoons and/or exit holes within the stems. Because the two Bracon species are difficult to distinguish morphologically in the larval and pupal phases, they were not distinguished in sample counts. Wheat stem sawfly infestation levels were calculated by dividing the number of sawfly infested stems (i.e., those containing any evidence of larvae) by the total number of stems sampled per field. Parasitism was calculated as the number of stems that contained evidence of parasitoids divided by the total number of C. cinctus infested stems per site, and was calculated only for sites where  C. cinctus was present. The wheat type, spring wheat or winter wheat (Triticum aestivum L.) or durum wheat (Triticum durum Desf.).",Cropland Data Layer (United States); Land Use 2010 (Canada),"Rand, T.A., Waters, D.K., Blodgett, S.L., Knodel, J.J., and M.O. Harris. 2014. Increased area of a highly suitable host crop increases herbivore pressure in intensified agricultural landscapes. Agriculture Ecosystems and Environment 186: 135-143.",204f27ea-ed7a-4028-b9e3-612d1e6a94a8
rand02,2009-2010,united states,"montana, north dakota",no,NA," In 2009, 15 irrigated fields and 15 dryland fields were sampled (June 12-23). In 2010, where possible, the same fields were re-sampled.  In cases where fields had come out of alfalfa production they were replaced with new ones in the vicinity.  In 2010 irrigated sites were added:a total of 27 irrigated fields and 15 dryland fields were sampled in 2010 (June 10-27).    In each field, we collected 10, 50-sweep samples with a 38-cm diameter sweep net.  Each sample consisted of 50, 180¬∞ sweeps of the net taken while walking along a transect of approximately 50m in length running parallel to the field edge.  The first transect was initiated 20m in from the field edge, and each subsequent transect was located 10m farther into the field from the previous one. Each 50-sweep sample was emptied into a 7.57l, sealable, plastic bag.  We attempted to remove 100 3rd-4th instar larvae per site/field for rearing of parasitoids; however, this was not always possible when densities were very low.  All alfalfa weevil larvae were counted in each 50-sweep sample for each site. ",NA,"Alfalfa weevil larvae were reared in the laboratory at 21-25¬∞C in 30ml clear plastic cups containing a cube of commercially available alfalfa weevil diet (Product No. A9114B, Bio-Serv, Frenchtown, NJ) supplemented with a few leaves of fresh alfalfa.  Diet was changed as necessary (i.e. when depleted, moldy, or dried out) and fresh vegetation was added every other day until death or pupation of the weevil larva or emergence of a parasitoid.  In 2009, five larvae were added to each rearing cup.  Due to relatively high mortality in that year, however, in 2010 larvae were reared individually. Low densities of weevil larvae in some fields resulted in low sample sizes for rearing, and as a consequence few insects were successfully reared from those sites. Thus, for estimates and analysis of site occupancy and proportion parasitism, I only included sites for which at least 20 larvae were successfully reared through to pupation or emergence of a parasitoid.  This resulted in the exclusion of 6 sites in 2009 and 7 sites in 2010. Alfalfa weevil larvae that died during the rearing process were not included in calculations of proportion parasitism.  Parasitoids were identified to species based on mummy and cocoon morphology with the aid of keys provided by WH Day (USDA-ARS",Cropland Data Layer (United States); Land Use 2010 (Canada),Unpublished,f0f159fb-38d9-4058-8621-1eb938f943f1
raym01,2014,france,south-west (haute-garonne)+west (les deux s√®vres),no,agricultural practices (tillage‚Ä¶),"Adults emerging from the pre-imaginal overwintering hover-flies were caught using emergence traps in 2012 from the end of the winter to the beginning of the summer, covering most of the adult emergence period. Traps were placed in agricultural fields (within the fields and/or in the adjacent field margins) selected according to a gradient of density of the surrounding woodland (0‚Äì50% within a 500-m radius from the sampling location). In each sampling field, the positions of the traps in the field margin and inside the field were randomly cho- sen. Traps were set up during the second half of March and were collected every fortnight from the 15th of April until the first week in July. In 2012, emergences were monitored in two study regions, both inside the fields and in the field margins, in 49 fields in the PVS region (Western France) and in 35 fields in the VCG region (South Western France). In each field, one trap was placed in the field itself, and one in the field margin. Crops in the fields were winter cereals (N = 52), oilseed rape (N = 18) or alfalfa (N = 14). The traps used in 2012 were small (surface area: 0.36 m2, Soil Emergence trap 96 √ó 26 mesh, Black, MegaView Science Co., Ltd., Taichung, Taiwan).

In 2012, the abundance of aphids and hoverflies (eggs, larvae and pupae) was recorded in the fields in which the emergence traps had been placed. From the second week in April to the first week in July, they were counted every 15 days on 50 wheat stalks, 10 rape plants or 50 alfalfa plants randomly chosen in an area of 1 m2 located near the emergence traps in the field. For each field, we determined (i) the ‚Äúinitial abundance of aphids in spring‚Äù (sum of the aphids counted in the recording area in the second week of April), (ii) the ‚Äútotal abundance of aphids in spring‚Äù (sum of all the aphids counted in the recording area in spring), (iii) the ‚Äútotal abundance of hoverflies in spring‚Äù (sum of all the eggs, larvae and pupae of hoverflies counted in the recording area in spring)",no,"There is no proper measurment of biological control in this study but an analyse of the correlation between the abundance of predators (hoverflies) overwintering in a field and the abundance of the pest (aphid) the next spring.
In order to evaluate the correlation between the abundance of hoverflies in autumn and in spring and the abundance of aphid in spring, we performed two GLMMs on the 2012 dataset. In the first GLMM, we linked the initial abundance of aphid in spring to the abundance of spring emergence of hoverflies within fields. In the second, we linked the total spring abundance of aphids to the abundance of spring emergence of hoverflies within fields and the total abundance of hoverflies in spring. The GLMMs were additive models with a Poisson error distribution and a log link function. The study site (N = 2, VCG and PVS) and the type of crop (N = 3, cereals, oilseed rape and alfalfa) were included as random effects. ",CORINE (Europe),"Raymond, L., Sarthou, J.-P., Plantegenest, M., Gauffre, B., Ladet, S., Vialatte, A., 2014. Immature hoverflies overwinter in cultivated fields and may significantly control aphid populations in autumn. Agric. Ecosyst. Environ. 185, 99_Ñ_105. doi:http://dx.doi.org/10.1016/j.agee.2013.12.019",49825a61-8921-485c-97a8-ae7a6c204c75
rusc01,2011,sweden,scania,no,No,"In each site, biological control was measured using 4 pairs of potted plants (barley) inoculated with aphids. They were positionned along a transect. For each pair: two treatments were applied: exclusion of all natural enemies and no exclusion. The time of exposure was 5 days. This was done once during the season.",4 replicated pairs. Each pair is composed of two treatments: exclusion of all natural enemies and no exclusion. ,biocontrol index based on the design previously describe,CORINE (Europe),"Rusch A, Bommarco R, Jonsson M, Smith HG, Ekbom B. 2013. Flow and stability of natural pest control services depend on complexity and crop rotation at the landscape scale. Journal of Applied Ecology, 50, 345–354. DOI: 10.1111/1365-2664.12055",c0051ad8-f5ce-4f71-b3ae-11492a2e04cf
rusc02,2011,sweden,scania,no,No,"In each site, ground-dwelling predators were monitored in a 20 √ó 100 m area that was not treated with insecticides and located at the field edge. Three pitfall traps (diameter 12 cm; depth 12 cm) were placed along a transect located in the middle of the experimental area, 10 m apart from the edge and each other. Pitfall traps were kept open for two periods of 7 days each during the aphid colonisation and aphid population growth phase (first period: from 30 May to 10 June 2011; second period: from 20 June to 1 July). ",NA,biocontrol index from Rusc01,CORINE (Europe),"Rusch, A., K. Birkhofer, R. Bommarco, H. G. Smith, and B. Ekbom. 2014. Management intensity at field and landscape levels affects the structure of generalist predator communities. Oecologia:1_Ñ_13",d7a4dc23-288e-477b-ba94-3903ab87385d
rusc03,2008,france,haute-normandie,no,no,150 pest larvae per field collected within a transect ,no,Parasitized and non parasitized pollen beetle larvae were recorded,Author contribution; CORINE (Europe),"Rusch A, Valantin-Morison M, Sarthou JP, Roger-Estrade J. 2011. Multi-scale effects of landscape complexity and crop management on pollen beetle parasitism rate. Landscape Ecology. DOI: 10.1007/s10980-011-9573-7",d211a50f-4c9b-434a-8e59-b04e3dfb7293
rusc04,2009,france,haute-normandie,no,no,150 pest larvae per field collected within a transect ,no,Parasitized and non parasitized pollen beetle larvae were recorded,Author contribution; CORINE (Europe),"Rusch A, Valantin-Morison M, Sarthou JP, Roger-Estrade J. 2011. Multi-scale effects of landscape complexity and crop management on pollen beetle parasitism rate. Landscape Ecology. DOI: 10.1007/s10980-011-9573-7",af844db1-13cc-45ee-af35-c03cd6863d4b
